global_step,local_step,raw_action_min,raw_action_max,action_0,action_1,action_2,action_3,action_4,action_5,action_6,expected_dx_m,expected_dy_m,expected_dz_m,expected_rx_rad,expected_ry_rad,expected_rz_rad,demo_err_max,live_err_max,live_reward,live_done,live_truncated,action_changed_by_safety,demo_delta_action_0,demo_delta_action_1,demo_delta_action_2,demo_delta_action_3,demo_delta_action_4,demo_delta_action_5,live_delta_action_0,live_delta_action_1,live_delta_action_2,live_delta_action_3,live_delta_action_4,live_delta_action_5
32,32,-0.19926875829696655,0.09433627128601074,-0.017146766185760498,0.09433627128601074,-0.19926875829696655,0.005264666397124529,-0.01147405244410038,0.016035864129662514,0.0,-0.0003086417855229229,0.001698052859865129,-0.0035868375562131405,5.264666106086224e-05,-0.00011474052007542923,0.00016035864246077836,0.08856388926506042,0.8963495492935181,0.0,False,False,False,-0.009525981731712818,0.05240904167294502,-0.11070486903190613,0.026323333382606506,-0.05737026408314705,0.08017931878566742,-0.05417565628886223,-0.11294087022542953,-0.15829917788505554,-0.8910849094390869,0.027558496221899986,-0.20461662113666534
33,33,-0.22983402013778687,0.054398179054260254,-0.07125288248062134,0.054398179054260254,-0.22983402013778687,-0.020651334896683693,0.01327101793140173,0.019287163391709328,0.0,-0.0012825517915189266,0.0009791671764105558,-0.004137012176215649,-0.00020651334489230067,0.00013271017814986408,0.0001928716228576377,0.10214844346046448,0.928997278213501,0.0,False,False,False,-0.0395849347114563,0.030221212655305862,-0.1276855766773224,-0.10325668007135391,0.06635509431362152,0.09643582254648209,-0.012511180713772774,0.2538214325904846,-0.0854680985212326,0.9083459377288818,0.09213149547576904,0.1084415465593338
34,34,-0.16304999589920044,0.008755922317504883,-0.07308870553970337,0.008755922317504883,-0.16304999589920044,-0.020195843651890755,0.0042309327982366085,0.0003842547012027353,0.0,-0.0013155966298654675,0.00015760659880470484,-0.002934899879619479,-0.00020195843535475433,4.2309326090617105e-05,3.842546902887989e-06,0.08078338205814362,1.108838677406311,0.0,False,False,False,-0.040604837238788605,0.004864401649683714,-0.09058333188295364,-0.10097922384738922,0.02115466445684433,0.001921273535117507,-0.07352564483880997,-0.17198093235492706,-0.16283078491687775,-1.1290345191955566,-0.04056553170084953,-0.25198468565940857
35,35,-0.18637478351593018,0.013050881214439869,-0.1287013292312622,0.011673569679260254,-0.18637478351593018,-0.0037392766680568457,0.008244611322879791,0.013050881214439869,0.0,-0.0023166239261627197,0.0002101242425851524,-0.0033547459170222282,-3.739276507985778e-05,8.244610944529995e-05,0.00013050880806986243,0.08283323049545288,1.1071597337722778,0.0,False,False,False,-0.0715007409453392,0.006485316902399063,-0.1035415530204773,-0.018696384504437447,0.041223056614398956,0.06525441259145737,-0.008641018532216549,0.2244926244020462,-0.038531094789505005,1.1034204959869385,0.05423174798488617,0.15961840748786926
36,36,-0.2260655164718628,0.03228643909096718,-0.06910115480422974,0.00635981559753418,-0.2260655164718628,0.03228643909096718,-0.027972429990768433,-0.02825033850967884,0.0,-0.0012438207631930709,0.00011447667930042371,-0.00406917929649353,0.0003228643909096718,-0.00027972430689260364,-0.0002825033734552562,0.1291457563638687,1.2973510026931763,0.0,False,False,False,-0.03838953375816345,0.003533231094479561,-0.1255919635295868,0.1614321917295456,-0.13986214995384216,-0.14125169813632965,-0.14665889739990234,-0.18124116957187653,-0.18157479166984558,-1.2650645971298218,0.07380712032318115,-0.2902563214302063
37,37,-0.20082443952560425,0.0010959827341139317,-0.0751689076423645,-0.04726052284240723,-0.20082443952560425,-0.04085917770862579,-0.029738258570432663,0.0010959827341139317,0.0,-0.0013530402211472392,-0.0008506893645972013,-0.0036148398648947477,-0.0004085917607881129,-0.0002973825903609395,1.0959826795442495e-05,0.16343672573566437,1.376584768295288,0.0,False,False,False,-0.04176050424575806,-0.02625584788620472,-0.11156913638114929,-0.20429590344429016,-0.1486912965774536,0.005479913670569658,0.07567058503627777,0.25905337929725647,-0.05765921622514725,1.3357255458831787,-0.12594296038150787,0.09859532862901688
38,38,-0.22503584623336792,0.014771073125302792,-0.05379319190979004,-0.045737624168395996,-0.22503584623336792,0.014771073125302792,0.0020632424857467413,-0.05077969655394554,0.0,-0.0009682773961685598,-0.0008232772233895957,-0.004050645045936108,0.00014771072892472148,2.0632423911592923e-05,-0.0005077969399280846,0.20311880111694336,1.4491758346557617,0.0,False,False,False,-0.029885107651352882,-0.025409791618585587,-0.12501992285251617,0.07385536283254623,0.01031621266156435,-0.2538985013961792,-0.1405734270811081,-0.23502443730831146,-0.15891261398792267,-1.434404730796814,0.03265542536973953,-0.16407862305641174
39,39,-0.23382455110549927,0.0814586877822876,-0.08209645748138428,0.0814586877822876,-0.23382455110549927,-0.010776150971651077,-0.02413969486951828,-0.012444947846233845,0.0,-0.001477736164815724,0.001466256333515048,-0.004208841826766729,-0.00010776150884339586,-0.0002413969486951828,-0.00012444947788026184,0.10392202436923981,1.5238993167877197,0.0,False,False,False,-0.04560914635658264,0.04525483027100563,-0.12990252673625946,-0.053880754858255386,-0.1206984743475914,-0.06222474202513695,0.06870925426483154,0.25814110040664673,-0.0887422114610672,1.5131231546401978,0.042186278849840164,-0.059953734278678894
40,40,-0.32379329204559326,0.0,-0.08406639099121094,-0.048029422760009766,-0.32379329204559326,-0.08818819373846054,-0.04040509834885597,-0.02647016942501068,0.0,-0.0015131949912756681,-0.0008645295747555792,-0.005828279070556164,-0.0008818819187581539,-0.0004040509811602533,-0.00026470169541426003,0.35275277495384216,1.523661732673645,0.0,False,False,False,-0.04670355096459389,-0.026683013886213303,-0.1798851639032364,-0.4409409761428833,-0.20202550292015076,-0.1323508471250534,-0.15921559929847717,-0.13961230218410492,-0.18028749525547028,-1.6118499040603638,-0.10604014992713928,-0.150520458817482
41,41,-0.19961893558502197,0.0019282102584838867,-0.07576197385787964,0.0019282102584838867,-0.19961893558502197,-0.040909674018621445,-0.10494975000619888,0.0016857432201504707,0.0,-0.0013637155061587691,3.47077839251142e-05,-0.003593140747398138,-0.00040909674135036767,-0.0010494975140318274,1.6857431546668522e-05,0.4197990596294403,1.2073454856872559,0.0,False,False,False,-0.04208998754620552,0.0010712279472500086,-0.1108994111418724,-0.20454838871955872,-0.5247488021850586,0.008428716100752354,0.01301533728837967,0.09164214879274368,-0.14798592031002045,1.1664358377456665,0.2076437771320343,-0.061488404870033264
42,42,-0.1256689429283142,0.0616908073425293,-0.029861927032470703,0.0616908073425293,-0.1256689429283142,3.8311998650897294e-05,-0.09186995774507523,0.00016068227705545723,0.0,-0.0005375146865844727,0.0011104345321655273,-0.0022620409727096558,3.8311998196149943e-07,-0.0009186995448544621,1.6068227068899432e-06,0.3674798607826233,1.161328673362732,0.0,False,False,False,-0.01658996008336544,0.03427267074584961,-0.06981608271598816,0.00019156000053044409,-0.4593498110771179,0.0008034114143811166,-0.08556246757507324,-0.05591081455349922,-0.1031789556145668,-1.1612904071807861,-0.356921523809433,-0.0654585063457489
